i08,212,212,55,0.00,0.00,0.00
i08b,186,186,197,0.00,0.00,0.00
i09,197,197,37,0.00,0.00,0.00
i10,2177,2177,364,0.00,0.00,0.00
i10b,156,156,1063,0.01,0.02,0.02
i11,2965,2965,49,0.00,0.00,0.00
i12,3017,3017,151,0.00,0.00,0.00
i12b,302,302,6254,0.39,0.42,0.42
i13,24978,24978,3673,0.10,0.12,0.12
i13b,692,692,14725,1.87,1.99,1.99
i14,458,458,34523,10.82,11.66,11.66
i15,266,266,84452,5.61,63.55,63.55
i16,729,729,4422,0.21,0.21,0.21
i17,856,856,40670,14.94,16.31,16.31
i18,975,975,18396,4.52,4.53,4.53
i19,1009,1009,9412,1.29,1.29,1.29
