i08,212,212,55,0.00,0.00,0.00
i08b,186,186,197,0.00,0.00,0.00
i09,197,197,37,0.00,0.00,0.00
i10,2177,2177,364,0.00,0.00,0.00
i10b,156,156,1063,0.01,0.02,0.02
i11,2965,2965,49,0.00,0.00,0.00
i12,3017,3017,151,0.00,0.00,0.00
i12b,302,302,6254,0.38,0.41,0.41
i13,24978,24978,3673,0.10,0.12,0.12
i13b,692,692,14725,1.85,1.97,1.97
i14,458,458,34523,10.91,11.75,11.75
i15,266,266,84452,5.66,63.33,63.33
i16,729,729,4422,0.21,0.21,0.21
i17,856,856,40670,14.97,16.35,16.35
i18,975,975,18396,4.53,4.53,4.53
i19,1009,1009,9412,1.29,1.29,1.29
i20,1171,1091,152558,595.60,577.47,600.04
i21,1095,1095,169426,572.63,577.42,577.42
i22,1218,1157,141540,546.25,573.10,600.04
i23,1306,1232,139224,381.54,550.01,600.04
i24,1154,1146,153194,505.28,599.08,600.00
i25,1842,1784,150826,260.18,538.13,600.00
i26,1537,1517,160090,582.30,595.05,600.01
i27,2074,2017,161940,547.72,576.74,600.04
i28,2075,1868,154334,184.73,567.43,600.02
i29,2364,2158,162661,583.66,536.56,600.04
i30,2284,2025,130490,557.36,599.99,600.11
