i08,212,212,55,0.00,0.00,0.00
i08b,186,186,197,0.00,0.00,0.00
i09,197,197,37,0.00,0.00,0.00
i10,2177,2177,364,0.00,0.00,0.00
i10b,156,156,1063,0.02,0.02,0.02
i11,2965,2965,49,0.00,0.00,0.00
i12,3017,3017,151,0.00,0.00,0.00
i12b,302,302,6254,0.38,0.41,0.41
i13,24978,24978,3673,0.10,0.12,0.12
i13b,692,692,14725,1.85,1.97,1.97
i14,458,458,34523,10.83,11.67,11.67
i15,266,266,84452,5.57,62.95,62.95
i16,729,729,4422,0.20,0.21,0.21
i17,856,856,40670,14.92,16.29,16.29
i18,975,975,18396,4.57,4.57,4.57
i19,1009,1009,9412,1.28,1.28,1.28
i20,1181,1090,148753,433.84,557.26,600.00
i21,1095,1095,169426,575.50,580.35,580.35
i22,1218,1156,138151,577.94,559.74,600.04
i23,1306,1232,137608,397.41,565.96,600.02
i24,1154,1144,148087,532.19,582.84,600.00
i25,1842,1784,148024,268.64,563.20,600.05
i26,1537,1517,159754,584.67,597.48,600.01
i27,2074,2016,157356,581.41,540.31,600.02
i28,2075,1868,154222,184.83,568.43,600.08
i29,2368,2158,159068,201.16,561.38,600.04
i30,2284,2025,134019,532.34,572.70,600.05
