i08,212,212,162,0.00,0.00,0.00
i08b,186,186,448,0.00,0.00,0.00
i09,197,197,47,0.00,0.00,0.00
i10,2177,2177,1286,0.00,0.00,0.00
i10b,156,156,12959,0.02,0.03,0.03
i11,2965,2965,49,0.00,0.00,0.00
i12,3017,3017,446,0.00,0.01,0.01
i12b,302,302,444698,0.42,1.36,1.36
i13,24619,24619,107921,0.13,0.44,0.44
i13b,692,692,1821464,2.59,6.52,6.52
i14,458,458,20496926,25.31,80.90,80.90
i15,266,257,50000000,1.25,32.19,46.01
i16,729,729,137117,0.19,0.61,0.61
i17,834,834,1841098,7.93,8.25,8.25
i18,974,974,1242170,3.37,3.61,3.61
i19,1009,1009,496122,0.81,0.84,0.84
i20,1162,1087,50000000,34.40,51.27,51.75
i21,1101,1066,50000000,53.77,59.71,64.54
i22,1214,1150,50000000,29.14,54.98,62.14
i23,1324,1211,50000000,48.36,46.57,50.74
i24,1185,1099,50000000,22.54,45.16,51.95
i25,1827,1789,50000000,56.29,53.34,59.96
i26,1535,1513,50000000,67.33,67.13,81.49
i27,2065,2017,50000000,50.27,50.71,57.24
i28,2057,1874,50000000,48.34,52.75,55.95
i29,2333,2168,50000000,18.77,51.12,57.80
i30,2304,2019,50000000,19.63,51.73,55.61
